"rk","player","pos","age","g","mp","per","tspercent","x3par","ftr","orbpercent","drbpercent","trbpercent","astpercent","stlpercent","blkpercent","tovpercent","usgpercent","ows","dws","ws","ws_48","obpm","dbpm","bpm","vorp","gs","fg","fga","fgpercent","x3p","x3pa","x3ppercent","x2p","x2pa","x2ppercent","efgpercent","ft","fta","ftpercent","orb","drb","trb","ast","stl","blk","tov","pf","pts","mvp","roy","dpoy","smoy","mip"
207,"Kevin McHale","PF",31,78,2876,20.3,0.608,0.003,0.44,9,16.3,12.7,9.1,0.4,2,11.9,23.7,8.1,1.9,10.1,0.168,3.1,-0.9,2.1,3,74,8.5,15.5,0.546,0,0.1,0,8.5,15.5,0.548,0.546,5.6,6.8,0.818,2.9,5.3,8.2,2.2,0.3,1.2,2.5,2.9,22.5,0,0,0,0,0
208,"Derrick McKey","SF",22,82,2804,15.5,0.575,0.092,0.387,6.5,12.2,9.3,10.7,1.8,1.5,14.2,18.8,5,2.3,7.4,0.126,1.6,0.6,2.2,3,82,5.9,11.8,0.502,0.4,1.1,0.337,5.6,10.7,0.519,0.518,3.7,4.6,0.803,2,3.6,5.7,2.7,1.3,0.9,2.3,3.2,15.9,0,0,0,0,0
209,"Nate McMillan","PG",24,75,2341,14.5,0.468,0.144,0.39,6.6,12.1,9.3,36.4,3.2,1.1,27.1,13.3,1.7,2.7,4.4,0.09,0.4,1.7,2.1,2.4,74,2.7,6.5,0.41,0.2,0.9,0.214,2.5,5.5,0.443,0.426,1.6,2.5,0.63,1.9,3.3,5.2,9.3,2.1,0.6,2.8,3.1,7.1,0,0,0,0,0
211,"Reggie Miller","SG",23,74,2536,15.7,0.602,0.294,0.409,3.4,9.1,6.4,12.9,1.8,0.7,12.7,18.5,5.2,1.3,6.5,0.124,2.7,-0.4,2.3,2.8,70,5.4,11.2,0.479,1.3,3.3,0.402,4.1,7.9,0.511,0.538,3.9,4.6,0.844,1,3,3.9,3.1,1.3,0.4,1.9,2.3,16,0,0,0,0,0
213,"Paul Mokeski","C",32,74,690,8.2,0.443,0.159,0.311,10.4,21.1,15.7,6.7,2,1.9,15.8,13.3,-0.1,1.1,1,0.072,-3.2,1.5,-1.7,0.1,0,0.8,2.2,0.36,0.1,0.4,0.269,0.7,1.9,0.377,0.381,0.5,0.7,0.784,0.9,1.7,2.5,0.5,0.4,0.3,0.5,2.1,2.2,0,0,0,0,0
214,"Sidney Moncrief","PG",31,62,1594,16.4,0.591,0.137,0.445,3.3,9.3,6.2,16.9,2,0.5,12.9,19,3.5,1.6,5,0.151,1.8,-0.3,1.5,1.4,50,4.2,8.6,0.491,0.4,1.2,0.342,3.8,7.4,0.514,0.514,3.3,3.8,0.865,0.7,2,2.8,3,1,0.2,1.5,1.8,12.1,0,0,0,0,0
215,"Chris Morris","SF",23,76,2096,15,0.528,0.193,0.281,9.7,11.5,10.5,8.8,2.3,1.7,15.7,23.6,0.8,2,2.8,0.064,0.5,0.2,0.7,1.4,48,5.4,11.9,0.457,0.8,2.3,0.366,4.6,9.6,0.479,0.493,2.4,3.3,0.717,2.5,2.8,5.2,1.6,1.3,0.8,2.5,3.3,14.1,0,0,0,0,0
217,"Chris Mullin","SF",25,82,3093,21.9,0.581,0.061,0.339,4.9,10.7,7.8,20.1,2.5,0.7,13.6,26.6,7.5,3.1,10.6,0.165,4,-0.2,3.7,4.4,82,10.1,19.9,0.509,0.3,1.2,0.23,9.8,18.7,0.527,0.516,6,6.7,0.892,1.9,4,5.9,5.1,2.1,0.5,3.6,2.2,26.5,0,0,0,0,0
219,"Larry Nance","PF",29,73,2526,19.9,0.59,0.004,0.363,7.4,18,13,9.2,1.1,4.7,9.9,19.9,5.7,4.7,10.3,0.197,1.1,2.9,4,3.8,72,6.8,12.6,0.539,0,0.1,0,6.8,12.5,0.541,0.539,3.7,4.6,0.799,2.1,5.8,8,2.2,0.8,2.8,1.6,2.5,17.2,0,0,0,0,0
224,"Johnny Newman","SF",25,81,2336,15.3,0.582,0.3,0.367,4.3,5.5,4.9,9.4,2.2,0.6,12.1,21,4.9,1.8,6.7,0.138,2.3,-1.2,1.1,1.8,80,5.6,11.8,0.475,1.2,3.5,0.338,4.4,8.3,0.534,0.526,3.5,4.3,0.815,1.1,1.4,2.5,2,1.4,0.3,1.9,3.2,16,0,0,0,0,0
226,"Ken Norman","SF",24,80,3020,15.4,0.522,0.017,0.212,8.7,14.9,11.8,13.6,1.6,1.2,12.9,20.8,1.9,2.1,4,0.064,0.4,0.3,0.7,2,79,8,15.9,0.502,0.1,0.3,0.19,7.9,15.6,0.507,0.504,2.1,3.4,0.63,3.1,5.3,8.3,3.5,1.3,0.8,2.6,2.8,18.1,0,0,0,0,0
227,"Charles Oakley","PF",25,82,2604,14.8,0.56,0.057,0.305,14.3,22.7,18.4,9.3,1.8,0.3,20.7,17.8,2.5,3.3,5.7,0.106,0.4,1.1,1.5,2.3,82,5.2,10.2,0.51,0.1,0.6,0.25,5,9.6,0.526,0.517,2.4,3.1,0.773,4.2,6.3,10.5,2.3,1.3,0.2,3,3.3,12.9,0,0,0,0,0
228,"Hakeem Olajuwon","C",26,82,3024,25.2,0.552,0.006,0.419,12.2,27.2,19.8,8.2,3.3,5.5,13,28.2,4.6,7.8,12.4,0.197,1.3,4.1,5.4,5.6,82,9.6,19,0.508,0,0.1,0,9.6,18.9,0.511,0.508,5.5,8,0.696,4.1,9.4,13.5,1.8,2.6,3.4,3.4,4,24.8,0,0,0,0,0
230,"Robert Parish","C",35,80,2840,21.6,0.607,0,0.391,14,26.1,20.1,9.1,1.4,2.4,14,20.9,6.9,3.6,10.5,0.177,3,1.2,4.2,4.5,80,7.5,13.1,0.57,0,0,NA,7.5,13.1,0.57,0.57,3.7,5.1,0.719,4.3,8.2,12.5,2.2,1,1.5,2.5,2.6,18.6,0,0,0,0,0
231,"Jim Paxson","PG",31,57,1138,11.5,0.502,0.054,0.231,1.8,5.6,3.7,13.2,1.6,0.4,10.4,20,0.7,0.5,1.3,0.053,-1.6,-2.4,-4,-0.6,7,3.5,7.8,0.454,0.1,0.4,0.167,3.5,7.4,0.47,0.458,1.5,1.8,0.816,0.3,1,1.3,1.9,0.7,0.1,1,1.7,8.6,0,0,0,0,0
232,"John Paxson","PG",28,78,1738,12,0.536,0.259,0.07,0.9,5.2,3.1,24.3,1.5,0.2,11.8,14.8,2.3,1,3.3,0.091,-0.6,-2.9,-3.4,-0.6,20,3.2,6.6,0.48,0.6,1.7,0.331,2.6,4.9,0.532,0.522,0.4,0.5,0.861,0.2,1,1.2,3.9,0.7,0.1,0.9,2.1,7.3,0,0,0,0,0
234,"Sam Perkins","PF",27,78,2860,15.3,0.53,0.04,0.343,9.2,17.3,13.3,6.7,1.3,1.9,11.3,18.8,3.3,3.1,6.4,0.108,-0.2,0.8,0.5,1.8,77,5.7,12.3,0.464,0.1,0.5,0.184,5.6,11.8,0.476,0.468,3.5,4.2,0.833,3,5.8,8.8,1.6,1,1.2,1.8,2.9,15,0,0,0,0,0
235,"Tim Perry","C",23,62,614,14.4,0.56,0.02,0.323,11,11.8,11.4,3.8,1.4,2.9,13.9,17.2,0.6,0.8,1.4,0.109,-1,0.4,-0.6,0.2,15,1.7,3.2,0.537,0,0.1,0.25,1.7,3.2,0.543,0.54,0.6,1,0.615,1,1.1,2.1,0.3,0.3,0.5,0.6,0.8,4.1,0,0,0,0,0
236,"Chuck Person","SF",24,80,3012,15.2,0.544,0.141,0.211,5.6,13,9.5,15.6,1.3,0.3,16.2,26.3,1.4,1.7,3,0.048,0.9,-1,-0.1,1.5,79,8.9,18.2,0.489,0.8,2.6,0.307,8.1,15.6,0.519,0.511,3,3.8,0.792,1.8,4.7,6.5,3.6,1,0.2,3.9,3.5,21.6,0,0,0,0,0
237,"Jim Petersen","C",26,66,1633,11.4,0.498,0.013,0.254,7.8,19.5,13.6,7.3,1.4,2.4,17.9,20.6,-1.1,1.8,0.6,0.019,-4,0.6,-3.4,-0.6,40,4.2,9.2,0.459,0,0.1,0,4.2,9.1,0.465,0.459,1.7,2.3,0.747,1.8,4.4,6.3,1.2,0.7,1,2.2,3.6,10.2,0,0,0,0,0
238,"Ricky Pierce","SG",29,75,2078,18.6,0.573,0.035,0.292,4.5,6.5,5.5,12.4,1.8,0.6,8.9,25.2,5,1.7,6.7,0.155,2.5,-1.6,0.8,1.5,4,7,13.6,0.518,0.1,0.5,0.222,6.9,13.1,0.529,0.522,3.4,4,0.859,1.1,1.5,2.6,2.1,1,0.3,1.5,2.6,17.6,0,0,0,0,0
239,"Ed Pinckney","PF",25,80,2012,17.2,0.591,0.01,0.563,9,15.5,12.3,8.3,2,1.9,13.3,18.3,4,2.1,6.1,0.145,0.6,0.8,1.5,1.8,33,4,7.8,0.513,0,0.1,0,4,7.7,0.518,0.513,3.5,4.4,0.8,2.1,3.5,5.6,1.5,1,0.8,1.5,2.5,11.5,0,0,0,0,0
